No,Sub Portfolio Name,Floor Name,Lot No,Net Area (Lot Master),NLA,Rental Base,Rental Rate,Service Charge Rate,Start Date,End Date,RCD,RED,Fit Out Commenced On,Business Name,Brand Name
34,CITIMALL CIANJUR,G,G-0040P,4.64,Y,Full Rental,"323,275.86",0.00,31/May/2019,14/Dec/2028,31/May/2019,14/Dec/2028,31/May/2019,GUDANG KFC,GUDANG KFC
35,CITIMALL CIANJUR,G,G-0041,0.00,Y,,0.00,0.00,,,,,,,
36,CITIMALL CIANJUR,G,G-0042,0.00,Y,,0.00,0.00,,,,,,,
37,CITIMALL CIANJUR,G,G-0043,0.00,Y,,0.00,0.00,,,,,,,
38,CITIMALL CIANJUR,G,G-0044,0.00,Y,,0.00,0.00,,,,,,,
39,CITIMALL CIANJUR,G,G-0045,0.00,Y,,0.00,0.00,,,,,,,
40,CITIMALL CIANJUR,G,G-0046,0.00,Y,,0.00,0.00,,,,,,,
41,CITIMALL CIANJUR,G,G-0047,0.00,Y,,0.00,0.00,,,,,,,
42,CITIMALL CIANJUR,G,G-0048,0.00,Y,,0.00,"1,320,000.00",,,,,,,
43,CITIMALL CIANJUR,G,G-0049,0.00,Y,,0.00,0.00,,,,,,,
44,CITIMALL CIANJUR,G,G-0050,0.00,Y,,0.00,0.00,,,,,,,
45,CITIMALL CIANJUR,G,G-0051,0.00,Y,,0.00,0.00,,,,,,,
46,CITIMALL CIANJUR,G,G-0052,0.00,Y,,0.00,0.00,,,,,,,
47,CITIMALL CIANJUR,G,G-0053,0.00,Y,,0.00,0.00,,,,,,,
48,CITIMALL CIANJUR,G,G-0054,0.00,Y,,0.00,0.00,,,,,,,
49,CITIMALL CIANJUR,G,G-0055,0.00,Y,,0.00,0.00,,,,,,,
50,CITIMALL CIANJUR,G,G-0056,0.00,Y,,0.00,0.00,,,,,,,
51,CITIMALL CIANJUR,G,G-0057,0.00,Y,,0.00,0.00,,,,,,,
52,CITIMALL CIANJUR,G,G-0060,0.00,Y,,0.00,0.00,,,,,,,
53,CITIMALL CIANJUR,G,G-0060A,0.00,Y,,0.00,0.00,,,,,,,
